 Time_Seconds Best_Fitness
1120 5605.0 131918
1124 5625.0 131918
1128 5645.0 131918
1132 5665.0 131918
1136 5685.0 131918
1140 5705.0 131918
1144 5725.0 131918
1148 5745.0 131723
1152 5765.0 131395
1156 5785.0 131081
1160 5805.0 131081
1164 5825.0 131081
1168 5845.0 131043
1172 5865.0 130814
1176 5885.0 130622
1180 5905.0 130622
1184 5925.0 130622
1188 5945.0 130461
1192 5965.0 130252
1196 5985.0 130197
1200 6005.0 130117
1204 6025.0 130099
1208 6045.0 130099
1212 6065.0 130099
1216 6085.0 129907
1220 6105.0 129309
1224 6125.0 129309
1228 6145.0 129100
1232 6165.0 129100
1236 6185.0 129019
1240 6205.0 128731
1244 6225.0 128731
1248 6245.0 128731
1252 6265.0 128731
1256 6285.0 128731
1260 6305.0 128537
1264 6325.0 128280
1268 6345.0 127754
1272 6365.0 127679
1276 6385.0 127534
1280 6405.0 127534
1284 6425.0 127534
1288 6445.0 127534
1292 6465.0 127534
1296 6485.0 127534
1300 6505.0 127534
1304 6525.0 127408
1308 6545.0 127280
1312 6565.0 127142
1316 6585.0 127125
1320 6605.0 127014
1324 6625.0 127014
1328 6645.0 126974
1332 6665.0 126974
1336 6685.0 126974
1340 6705.0 126974
1344 6725.0 126974
1348 6745.0 126974
1352 6765.0 126756
1356 6785.0 126739
1360 6805.0 126739
1364 6825.0 126475
1368 6845.0 126475
1372 6865.0 126475
1376 6885.0 126475
1380 6905.0 126475
1384 6925.0 126475
1388 6945.0 126475
1392 6965.0 126475
1396 6985.0 126388
1400 7005.0 125992
1404 7025.0 125944
1408 7045.0 125944
1412 7065.0 125944
1416 7085.0 125944
1420 7105.0 125944
1424 7125.0 125944
1428 7145.0 125944
1432 7165.0 125944
1436 7185.0 125944
1440 7205.0 125891
1444 7225.0 125786
1448 7245.0 125592
1452 7265.0 125372
1456 7285.0 125372
1460 7305.0 125346
1464 7325.0 125346
1468 7345.0 125346
1472 7365.0 125346
1476 7385.0 125346
1480 7405.0 125346
1484 7425.0 125346
1488 7445.0 125346
1492 7465.0 125346
1496 7485.0 124673
1500 7505.0 124638
1504 7525.0 124638
1508 7545.0 124638
1512 7565.0 124638
1516 7585.0 124638
1520 7605.0 124638
1524 7625.0 124638
1528 7645.0 124638
1532 7665.0 124488
1536 7685.0 124295
1540 7705.0 124295
1544 7725.0 124295
1548 7745.0 124295
1552 7765.0 124269
1556 7785.0 124269
1560 7805.0 124269
1564 7825.0 124269
1568 7845.0 124269
1572 7865.0 124232
1576 7885.0 124146
1580 7905.0 124146
1584 7925.0 124146
1588 7945.0 124146
1592 7965.0 124146
1596 7985.0 124022
1600 8005.0 124022
1604 8025.0 124022
1608 8045.0 124022
1612 8065.0 124022
1616 8085.0 124022
1620 8105.0 124022
1624 8125.0 124022
1628 8145.0 124022
1632 8165.0 123877
1636 8185.0 123877
1640 8205.0 123871
1644 8225.0 123871
1648 8245.0 123871
1652 8265.0 123871
1656 8285.0 123704
1660 8305.0 123694
1664 8325.0 123694
1668 8345.0 123694
1672 8365.0 123694
1676 8385.0 123694
1680 8405.0 123694
1684 8425.0 123658
1688 8445.0 123600
1692 8465.0 123600
1696 8485.0 123493
1700 8505.0 123493
1704 8525.0 123493
1708 8545.0 123493
1712 8565.0 123423
1716 8585.0 123423
1720 8605.0 123423
1724 8625.0 123423
1728 8645.0 123423
1732 8665.0 123336
1736 8685.0 123336
1740 8705.0 123336
1744 8725.0 123336
1748 8745.0 123191
1752 8765.0 123191
1756 8785.0 123191
1760 8805.0 123191
1764 8825.0 123191
1768 8845.0 123160
1772 8865.0 123149
1776 8885.0 123149
1780 8905.0 123149
1784 8925.0 123149
1788 8945.0 123149
1792 8965.0 123059
1796 8985.0 123059
1800 9005.0 123059
1804 9025.0 123047
1808 9045.0 122976
1812 9065.0 122976
1816 9085.0 122976
1820 9105.0 122976
1824 9125.0 122976
1828 9145.0 122575
1832 9165.0 122502
1836 9185.0 122502
1840 9205.0 122502
1844 9225.0 122502
1848 9245.0 122502
1852 9265.0 122502
1856 9285.0 122502
1860 9305.0 122502
1864 9325.0 121953
1868 9345.0 121060
1872 9365.0 121060
1876 9385.0 121060
1880 9405.0 121060
1884 9425.0 121060
1888 9445.0 121060
1892 9465.0 121060
1896 9485.0 121060
1900 9505.0 121060
1904 9525.0 120967
1908 9545.0 120865
1912 9565.0 120710
1916 9585.0 120710
1920 9605.0 120710
1924 9625.0 120710
1928 9645.0 120710
1932 9665.0 120710
1936 9685.0 120710
1940 9705.0 120710
1944 9725.0 120438
1948 9745.0 120141
1952 9765.0 120141
1956 9785.0 120141
1960 9805.0 120141
1964 9825.0 120141
1968 9845.0 120141
1972 9865.0 119832
1976 9885.0 119832
1980 9905.0 119832
1984 9925.0 119832
1988 9945.0 119832
1992 9965.0 119832
1996 9985.0 119832
2000 10005.0 119221
2004 10025.0 119221
2008 10045.0 119221
2012 10065.0 119221
2016 10085.0 119221
2020 10105.0 119213
2024 10125.0 119207
2028 10145.0 119207
2032 10165.0 119068
2036 10185.0 119045
2040 10205.0 119045
2044 10225.0 118874
2048 10245.0 118874
2052 10265.0 118874
2056 10285.0 118714
2060 10305.0 118375
2064 10325.0 118375
2068 10345.0 118375
2072 10365.0 118375
2076 10385.0 118375
2080 10405.0 118375
2084 10425.0 118375
2088 10445.0 118375
2092 10465.0 118375
2096 10485.0 118375
2100 10505.0 118375
2104 10525.0 118375
2108 10545.0 118375
2112 10565.0 117806
2116 10585.0 116985
2120 10605.0 116713
2124 10625.0 116617
2128 10645.0 116617
2132 10665.0 116617
2136 10685.0 116617
2140 10705.0 116568
2144 10725.0 116542
2148 10745.0 116542
2152 10765.0 116542
2156 10785.0 116532
2160 10805.0 116483
2164 10825.0 116483
2168 10845.0 116426
2172 10865.0 116426
2176 10885.0 116426
2180 10905.0 116426
2184 10925.0 116315
2188 10945.0 116315
2192 10965.0 116315
2196 10985.0 116165
2200 11005.0 116114
2204 11025.0 116114
2208 11045.0 116114
2212 11065.0 116114
2216 11085.0 116114
2220 11105.0 116114
2224 11125.0 116114
2228 11145.0 116093
2232 11165.0 116067
2236 11185.0 116067
2240 11205.0 116067
2244 11225.0 116067
2248 11245.0 116067
2252 11265.0 116067
2256 11285.0 116067
2260 11305.0 116067
2264 11325.0 116067
2268 11345.0 116067
2272 11365.0 116067
2276 11385.0 115893
2280 11405.0 115893
2284 11425.0 115893
2288 11445.0 115893
2292 11465.0 115893
2296 11485.0 115893
2300 11505.0 115893
2304 11525.0 115893
2308 11545.0 115893
2312 11565.0 115893
2316 11585.0 115893
2320 11605.0 115893
2324 11625.0 115893
2328 11645.0 115893
2332 11665.0 115893
2336 11685.0 115734
2340 11705.0 115734
2344 11725.0 115734
2348 11745.0 115734
2352 11765.0 115734
2356 11785.0 115702
2360 11805.0 115512
2364 11825.0 115086
2368 11845.0 115036
2372 11865.0 115036
2376 11885.0 115036
2380 11905.0 114872
2384 11925.0 114344
2388 11945.0 114344
2392 11965.0 114344
2396 11985.0 114344
2400 12005.0 113837
2404 12025.0 113617
2408 12045.0 113577
2412 12065.0 113577
2416 12085.0 113215
2420 12105.0 113082
2424 12125.0 113082
2428 12145.0 113013
2432 12165.0 112804
2436 12185.0 112804
2440 12205.0 112788
2444 12225.0 112640
2448 12245.0 112640
2452 12265.0 112510
2456 12285.0 112510
2460 12305.0 112399
2464 12325.0 112399
2468 12345.0 112399
2472 12365.0 112137
2476 12385.0 112012
2480 12405.0 112012
2484 12425.0 112012
2488 12445.0 112012
2492 12465.0 111629
2496 12485.0 111629
2500 12505.0 111629
2504 12525.0 111629
2508 12545.0 111629
2512 12565.0 111629
2516 12585.0 111199
2520 12605.0 111199
2524 12625.0 111199
2528 12645.0 111199
2532 12665.0 111177
2536 12685.0 111088
2540 12705.0 110955
2544 12725.0 110955
