 Time_Seconds Best_Fitness
1072 5365.0 48130.0
1076 5385.0 48085.0
1080 5405.0 47961.0
1084 5425.0 47904.0
1088 5445.0 47878.0
1092 5465.0 47839.0
1096 5485.0 47774.0
1100 5505.0 47703.0
1104 5525.0 47607.0
1108 5545.0 47475.0
1112 5565.0 47376.0
1116 5585.0 47366.0
1120 5605.0 47347.0
1124 5625.0 47340.0
1128 5645.0 47248.0
1132 5665.0 47248.0
1136 5685.0 47248.0
1140 5705.0 47248.0
1144 5725.0 47231.0
1148 5745.0 47094.0
1152 5765.0 46947.0
1156 5785.0 46878.0
1160 5805.0 46875.0
1164 5825.0 46856.0
1168 5845.0 46806.0
1172 5865.0 46732.0
1176 5885.0 46712.0
1180 5905.0 46701.0
1184 5925.0 46688.0
1188 5945.0 46668.0
1192 5965.0 46621.0
1196 5985.0 46520.0
1200 6005.0 46477.0
1204 6025.0 46431.0
1208 6045.0 46266.0
1212 6065.0 46215.0
1216 6085.0 45987.0
1220 6105.0 45885.0
1224 6125.0 45861.0
1228 6145.0 45843.0
1232 6165.0 45781.0
1236 6185.0 45675.0
1240 6205.0 45632.0
1244 6225.0 45610.0
1248 6245.0 45569.0
1252 6265.0 45569.0
1256 6285.0 45569.0
1260 6305.0 45503.0
1264 6325.0 45455.0
1268 6345.0 45389.0
1272 6365.0 45317.0
1276 6385.0 45237.0
1280 6405.0 45200.0
1284 6425.0 45200.0
1288 6445.0 45200.0
1292 6465.0 45200.0
1296 6485.0 45200.0
1300 6505.0 45200.0
1304 6525.0 45200.0
1308 6545.0 45200.0
1312 6565.0 45200.0
1316 6585.0 45200.0
1320 6605.0 45200.0
1324 6625.0 45200.0
1328 6645.0 45200.0
1332 6665.0 45200.0
1336 6685.0 45200.0
1340 6705.0 45200.0
1344 6725.0 45200.0
1348 6745.0 45200.0
1352 6765.0 45200.0
1356 6785.0 45200.0
1360 6805.0 45200.0
1364 6825.0 45200.0
1368 6845.0 45200.0
1372 6865.0 45200.0
1376 6885.0 45200.0
1380 6905.0 45200.0
1384 6925.0 45200.0
1388 6945.0 45200.0
1392 6965.0 45200.0
1396 6985.0 45200.0
1400 7005.0 45200.0
1404 7025.0 45200.0
1408 7045.0 45200.0
